Country,Criminality,Criminal markets,Criminal actors
Afghanistan,7.1,7,7.2
Libya,6.93,6.57,7.3
Myanmar,8.15,7.7,8.6
Yemen,6.57,5.63,7.5
Central African Rep.,6.75,5.6,7.9
Somalia,6.13,5.27,7
"Korea, DPR",4.82,5.73,3.9
Venezuela,6.72,6.03,7.4
S. Sudan,6.32,5.13,7.5
Syria,7.07,6.43,7.7
Nicaragua,5.72,5.23,6.2
Burundi,4.87,4.63,5.1
Turkmenistan,4.4,4.4,4.4
Equatorial Guinea,4.38,3.57,5.2
Eritrea,3.97,3.93,4
Dem. Rep. Congo,7.35,6.2,8.5
Mali,5.93,6.47,5.4
Comoros,3.92,3.73,4.1
Chad,5.5,5.1,5.9
Haiti,5.93,5.77,6.1
Tajikistan,5.45,4.8,6.1
Guinea-Bissau,5.1,4.6,5.6
Sudan,6.37,5.23,7.5
Suriname,4.77,4.53,5
Iran,7.03,7.37,6.7
Zimbabwe,5.47,5.03,5.9
Guinea,4.58,4.77,4.4
Mauritania,4.38,4.27,4.5
Cameroon,6.27,6.23,6.3
Iraq,7.13,6.27,8
El Salvador,5.92,5.43,6.4
Belarus,5.87,5.33,6.4
Liberia,5.5,5.4,5.6
Gabon,4.85,4.6,5.1
Congo,4.78,4.47,5.1
Mozambique,6.2,5.9,6.5
Papua New Guinea,5.72,5.33,6.1
Belize,4.87,4.43,5.3
eSwatini,4.38,3.87,4.9
Madagascar,5.58,5.27,5.9
Turkey,7.03,6.77,7.3
Paraguay,7.52,6.73,8.3
Sri Lanka,4.92,4.83,5
Lebanon,7.1,6.3,7.9
Laos,6.12,6.33,5.9
Burkina Faso,5.92,5.83,6
Niger,5.7,5.7,5.7
Benin,5.32,5.43,5.2
Cambodia,6.85,6.7,7
Russia,6.87,6.83,6.9
Kyrgyzstan,5.32,4.63,6
Egypt,5.05,5.1,5
Timor-Leste,4.08,3.67,4.5
Uganda,6.55,6.4,6.7
Bosnia and Herzegovina,5.85,5.3,6.4
Uzbekistan,4.95,4.6,5.3
Moldova,5.6,5.2,6
Lesotho,3.92,3.43,4.4
Pakistan,6.03,6.27,5.8
Azerbaijan,4.8,4.1,5.5
Nepal,6.57,6.03,7.1
Saudi Arabia,6.23,6.57,5.9
Guyana,5.97,5.13,6.8
Sierra Leone,4.95,4.6,5.3
Honduras,7.05,6,8.1
Guatemala,6.6,6.1,7.1
Maldives,4.27,3.53,5
Tanzania,6.2,6.4,6
Mexico,7.57,8.13,7
Philippines,6.63,6.57,6.7
Indonesia,6.85,6.6,7.1
Kiribati,2.45,2.6,2.3
Peru,6.4,6.2,6.6
Algeria,4.88,5.17,4.6
Djibouti,4.65,4.3,5
Bangladesh,5.12,5.03,5.2
Cyprus,4.43,3.97,4.9
Angola,5.58,5.17,6
Togo,5.23,4.77,5.7
Tunisia,4.45,5,3.9
Ukraine,6.48,6.27,6.7
Zambia,4.73,4.47,5
Kazakhstan,4.47,4.33,4.6
Namibia,4.3,4.1,4.5
Malawi,4.48,4.77,4.2
Antigua and Barbuda,2.98,2.67,3.3
Brunei,2.85,3.3,2.4
Morocco,4.8,5.1,4.5
Panama,6.98,6.67,7.3
Bhutan,3.9,3.9,3.9
Montenegro,5.9,5.2,6.6
Ethiopia,5.68,6.07,5.3
Vietnam,6.55,6.5,6.6
Thailand,6.18,6.77,5.6
Dominican Republic,5.02,5.13,4.9
Bolivia,4.95,5,4.9
Ecuador,7.07,6.73,7.4
Hungary,4.62,4.73,4.5
Brazil,6.77,6.93,6.6
Sao Tome and Principe,1.7,1.7,1.7
Serbia,6.22,5.73,6.7
"St, Kitts and Nevis",3.52,2.83,4.2
Nauru,2.05,2.2,1.9
Solomon Islands,4.4,3.7,5.1
United Arab Emirates,6.37,7.03,5.7
Côte d'Ivoire,6.02,5.93,6.1
Albania,5.17,4.83,5.5
Malta,5,4.3,5.7
Grenada,2.93,2.67,3.2
Vanuatu,2.43,2.67,2.2
Greece,5.35,4.7,6
Gambia,4.53,4.67,4.4
Dominica,2.63,2.67,2.6
Oman,4.4,4.9,3.9
Mongolia,4.12,3.83,4.4
Seychelles,3.9,3.5,4.3
San Marino,3.48,2.37,4.6
Georgia,3.6,3.6,3.6
North Macedonia,5.03,4.87,5.2
Slovakia,4.72,4.73,4.7
Tonga,3.7,3.5,3.9
Kenya,7.02,6.93,7.1
Bulgaria,5.65,5.4,5.9
Trinidad and Tobago,5.2,4.8,5.6
Palau,2.7,2.9,2.5
Cuba,3.37,3.63,3.1
"St, Vincent and the Grenadines",3.08,2.67,3.5
Jamaica,5.8,4.9,6.7
India,5.75,6.7,4.8
Qatar,5.45,5.7,5.2
Bahrain,4.95,5.4,4.5
Fiji,4.15,4.3,4
Ghana,5.8,6,5.6
Botswana,4.35,4.4,4.3
Bahamas,3.75,3.6,3.9
Kuwait,5.2,5.7,4.7
Mauritius,4.37,4.13,4.6
Rwanda,3.6,4,3.2
Jordan,4.93,4.87,5
"St, Lucia",3.53,2.67,4.4
Colombia,7.75,7.3,8.2
South Africa,7.18,6.87,7.5
Costa Rica,5.53,5.37,5.7
Monaco,2.58,1.67,3.5
China,6.37,6.53,6.2
Armenia,2.82,2.93,2.7
Nigeria,7.28,7.37,7.2
Senegal,5.52,5.53,5.5
Marshall Islands,2.52,2.73,2.3
Samoa,2.43,2.97,1.9
Poland,4.48,4.97,4
Micronesia (Federated States of),3,3,3
Malaysia,6.23,6.67,5.8
Croatia,5.15,4.9,5.4
Argentina,5,4.5,5.5
Romania,4.58,5.27,3.9
Slovenia,4.37,4.03,4.7
Israel,4.85,5,4.7
Tuvalu,1.62,1.93,1.3
Barbados,3.07,2.43,3.7
Chile,5.18,5.07,5.3
Czech Republic,4.68,4.87,4.5
Italy,6.22,5.73,6.7
Portugal,4.88,4.67,5.1
Cabo Verde,4.28,3.97,4.6
Spain,5.9,5.7,6.1
France,5.82,5.93,5.7
Switzerland,4.87,4.63,5.1
Belgium,4.43,5.17,3.7
United States of America,5.67,5.83,5.5
Canada,3.88,3.87,3.9
Lithuania,3.9,3.8,4
Ireland,5.08,5.17,5
Japan,4.28,3.87,4.7
Australia,4,4.3,3.7
Netherlands,4.97,5.23,4.7
Sweden,4.7,4.6,4.8
Germany,5.33,5.47,5.2
Austria,4.13,4.17,4.1
Uruguay,3.22,3.33,3.1
Luxembourg,2.85,2.9,2.8
United Kingdom,5.75,5.5,6
Latvia,3.9,4.5,3.3
Singapore,3.47,3.93,3
Estonia,4.25,4.2,4.3
New Zealand,4.08,3.77,4.4
Norway,3.75,4.1,3.4
Andorra,3.22,2.73,3.7
"Korea, Rep,",4.43,3.57,5.3
Denmark,4.02,4.33,3.7
Iceland,3.37,2.93,3.8
Liechtenstein,2.27,2.33,2.2
Finland,2.98,3.27,2.7
